week,date,date_end,title,deadline,content,assignment,note
1,8/23/23,,Introduction and the Religious Landscape,,content/01-intro,,
1,8/25/23,,Secularization,,,,
2,8/28/23,,Relationship Between Church and state,,content/02-church-state,,
2,8/30/23,,Church and state,,,,
2,9/1/23,,Church and state,,,,
3,9/4/23,,NO CLASS. Labor Day Holiday.,,,,
3,9/6/23,,How Did We Get Here?,,content/03-historical-context,,
3,9/8/23,,How Did We Get Here?,,,,
4,9/11/23,,How Religion Affects Politics,,content/04-religion-to-politics,,
4,9/13/23,,How Religion Affects Politics,,,,
4,9/15/23,,How Religion Affects Politics,,,,
5,9/18/23,,Mobilization and Vote Choice,,content/05-voting-behavior,,
5,9/20/23,,Mobilization and Vote Choice,,,,
5,9/22/23,,Mobilization and Vote Choice,,,,
6,9/25/23,,Mobilization and Vote Choice,,,,
6,9/27/23,,Brin draft of paper to class,,,,
6,9/29/23,,First Paper Due,5:00 PM,,assignment/congregational-visit,
7,10/2/23,,Religious Language in Politics,,content/06-religious-language,,
7,10/4/23,,Religious Language in Politics,,,,
7,10/6/23,,Religious Language in Politics,,,,
8,10/9/23,,NO CLASS. Fall Break.,,,,
8,10/11/23,,Review for Midterm Exam,,content/midterm-guide,,
8,10/13/23,,Midterm exam,,,,
9,10/16/23,,Black Protestants and the Black Church,,content/07-black-protestants,,
9,10/18/23,,Black Protestants and the Black Church,,,,
9,10/20/23,,Black Protestants and the Black Church,,,,
10,10/23/23,,Latino Catholics and Protestants,,content/08-latino-religion,,
10,10/25/23,,Latino Catholics and Protestants,,,,
10,10/27/23,,Religious Minorities,,,,
11,10/30/23,,White Christians and the Religious Right,,content/09-religious-right,,
11,11/1/23,,White Christians and the Religious Right,,,,
11,11/3/23,,Peer Reviews (Paper #2) Due,,,,
12,11/6/23,,From Politics to Religion,,content/10-politics-to-religion,,
12,11/8/23,,From Politics to Religion,,,,
12,11/10/23,,Campaign Memo Due,5:00 PM,,assignment/campaign-memo,
13,11/13/23,,A Religious Left?,,content/11-religious-left,,
13,11/15/23,,A Religious Left?,,,,
13,11/17/23,,A Religious Left?,,,,
14,11/20/23,,NO CLASS.,,,,
14,11/22/23,11/26/23,Thanksgiving Break,,,,
15,11/27/23,,Peer reviews for full op-ed draft,,,,
15,11/29/23,,Where Do We Go from Here?,,content/12-contemporary,,
15,12/1/23,,Op-ed Due,5:00 PM,,assignment/op-ed,
16,12/4/23,,Review for Final Exam,,content/final-guide,,
17,12/8/23,12/13/23,Final exam,,,,